Normalized MuB	Sample Name	tissue
0	P626.plasma_2a	plasma
0	P4918.plasma_1b	plasma
0	P4886.plasma_1a	plasma
0	P4838.plasma_1a	plasma
0	P4447.plasma_1a	plasma
0	P5034.plasma_1a	plasma
0	P4435.plasma_1a	plasma
4.4846	P4653.plasma_1a	plasma
0	P4694.plasma_1a	plasma
6.98	P4639.plasma_1a	plasma
19.5794	P5397.plasma_1a	plasma
2.2843	P4402.plasma_1a	plasma
10.6081	P5190.plasma_1a	plasma
4.0142	P4885.plasma_1a	plasma
6.0158	P5379.plasma_1a	plasma
2.245	P4654.plasma_1a	plasma
4.2713	P4638.plasma_1a	plasma
6.6443	P5022.plasma_1a	plasma
2.0987	P4348.plasma_1a	plasma
2.0779	P4874.plasma_1a	plasma
2.0252	P4919.plasma_1a	plasma
2.6402	P4067.plasma_1a	plasma
6.2766	P4743.plasma_1a	plasma
4.3997	P4646.plasma_1a	plasma
4.0891	P4747.plasma_1a	plasma
4.5671	P4445.plasma_1a	plasma
2.1908	P4656.plasma_1a	plasma
2.1429	P4286.plasma_1a	plasma
2.1809	P2461.plasma_2a	plasma
0	P3626.plasma_3a	plasma
6.1517	P4924.plasma_1a	plasma
2.1428	P4449.plasma_1a	plasma
6.4393	P4104.plasma_1a	plasma
1.9813	P4146.plasma_1a	plasma
4.2136	P4992.plasma_1a	plasma
0	P4889.plasma_1a	plasma
2.1202	P4802.plasma_1a	plasma
4.2755	P4984.plasma_1a	plasma
2.0799	P5025.plasma_1a	plasma
6.4504	P3501.plasma_2a	plasma
2.012	P4480.plasma_1a	plasma
12.2035	P4933.plasma_1a	plasma
2.114	P4636.plasma_1a	plasma
2.0678	P4809.plasma_1a	plasma
3.9849	P4181.plasma_1a	plasma
2.0325	P4527.plasma_1a	plasma
8.6628	P4222.plasma_1a	plasma
2.1532	P4980.plasma_1a	plasma
2.1624	P5046.plasma_1a	plasma
2.1048	P4659.plasma_1a	plasma
8.669	P5045.plasma_1a	plasma
4.3124	P2009.plasma_2a	plasma
4.3639	P4790.plasma_1a	plasma
4.345	P3474.plasma_2a	plasma
6.0722	P4537.plasma_1a	plasma
2.1333	P3645.plasma_2a	plasma
5.9318	P5374.plasma_1a	plasma
1.9744	P4899.plasma_1a	plasma
8.0975	P5369.plasma_1a	plasma
6.0961	P4111.plasma_1a	plasma
4.2796	P4648.plasma_1a	plasma
5.9158	P4167.plasma_1a	plasma
8.4503	P4075.plasma_1a	plasma
2.1349	P4429.plasma_1a	plasma
4.3438	P4647.plasma_1a	plasma
4.0587	P4204.plasma_1a	plasma
0	P5363.plasma_1a	plasma
4.2344	P4271.plasma_2a	plasma
21.0658	P4106.plasma_1a	plasma
6.1662	P5036.plasma_1a	plasma
2.1195	P4939.plasma_1a	plasma
8.2992	P4973.plasma_1a	plasma
2.0664	P5073.plasma_1a	plasma
0	P4811.plasma_1a	plasma
3.9727	P5377.plasma_1a	plasma
2.0193	P4928.plasma_1a	plasma
6.1871	P4299.plasma_1a	plasma
0	P5055.plasma_1a	plasma
2.0838	P4953.plasma_1a	plasma
4.311	P5197.plasma_1a	plasma
0	P4448.plasma_1a	plasma
2.2131	P4446.plasma_1a	plasma
4.1048	P5054.plasma_1a	plasma
0	P4144.plasma_1a	plasma
2.1148	P4451.plasma_1a	plasma
8.4266	P4969.plasma_1a	plasma
5.9974	P5229.plasma_1a	plasma
2.0977	P4432.plasma_1a	plasma
4.2269	P4801.plasma_1a	plasma
8.3869	P4813.plasma_1a	plasma
4.2194	P5053.plasma_1a	plasma
5.997	P4837.plasma_1a	plasma
9.903	P4468.plasma_1a	plasma
10.2178	P2720.plasma_2a	plasma
2.0847	P2588.plasma_2a	plasma
3.9194	P4896.plasma_1a	plasma
10.5451	P4936.plasma_1a	plasma
3.9256	P4908.plasma_1a	plasma
4.1794	P4948.plasma_1a	plasma
3.9976	P4205.plasma_1a	plasma
2.2217	P4428.plasma_1a	plasma
4.1467	P4775.plasma_1a	plasma
2.0659	P4227.plasma_1a	plasma
9.8505	P4898.plasma_1a	plasma
6.3181	P4226.plasma_1a	plasma
8.3554	P4951.plasma_1a	plasma
6.1583	P4402.plasma_2a	plasma
14.4053	P2235.plasma_2a	plasma
5.8921	P5402.plasma_1a	plasma
6.2978	P4039.plasma_1a	plasma
4.1098	P5061.plasma_1a	plasma
2.0355	P5395.plasma_1a	plasma
12.4109	P4977.plasma_1a	plasma
12.7048	P5337.plasma_1a	plasma
6.13	P4619.plasma_1a	plasma
1.9982	P4267.plasma_1a	plasma
2.018	P4498.plasma_1a	plasma
20.2346	P5181.plasma_1a	plasma
5.9572	P4897.plasma_1a	plasma
11.9406	P4922.plasma_1a	plasma
4.2162	P4070.plasma_1a	plasma
6.0355	P4916.plasma_1a	plasma
4.2201	P4248.plasma_1a	plasma
4.3015	P4799.plasma_1a	plasma
4.1603	P4641.plasma_1a	plasma
2.0464	P4995.plasma_1b	plasma
8.0606	P5322.plasma_1a	plasma
11.9208	P5376.plasma_1a	plasma
1.9454	P5122.plasma_1a	plasma
3.9892	P673.plasma_2a	plasma
8.5403	P4236.plasma_1a	plasma
8.3981	P5051.plasma_1a	plasma
8.5175	P4072.plasma_1a	plasma
8.3083	P4784.plasma_1a	plasma
8.1217	P5062.plasma_1a	plasma
15.4931	P3608.plasma_2a	plasma
6.3004	P4947.plasma_1a	plasma
10.1342	P4816.plasma_1a	plasma
4.147	P72.plasma_3a	plasma
0	P4940.plasma_1a	plasma
2.0985	P4800.plasma_1a	plasma
10.2903	P4795.plasma_1a	plasma
2.0326	P4090.plasma_1a	plasma
2.0332	P4339.plasma_1a	plasma
10.1464	P4333.plasma_1a	plasma
15.5986	P5278.plasma_1a	plasma
10.2001	P4605.plasma_1a	plasma
0	P5042.plasma_1a	plasma
6.2309	P4950.plasma_1a	plasma
0	P4609.plasma_1a	plasma
12.2542	P5006.plasma_1b	plasma
8.1756	P5404.plasma_1a	plasma
14.0245	P4929.plasma_1a	plasma
8.1364	P4781.plasma_1a	plasma
8.2275	P4324.plasma_1a	plasma
0	P4965.plasma_1a	plasma
12.5489	P4083.plasma_1a	plasma
5.909	P4772.plasma_1a	plasma
0	P5058.plasma_1a	plasma
6.0031	P5249.plasma_1a	plasma
8.3113	P2501.plasma_2a	plasma
10.148	P5403.plasma_1a	plasma
9.8202	P4909.plasma_1a	plasma
12.2378	P5184.plasma_1a	plasma
2.0468	P5057.plasma_1a	plasma
5.9298	P4734.plasma_1a	plasma
5.9166	P4890.plasma_1a	plasma
9.9542	P4223.plasma_1a	plasma
7.9376	P4515.plasma_1a	plasma
10.2927	P5067.plasma_1a	plasma
11.9111	P4727.plasma_1a	plasma
6.311	P4240.plasma_1a	plasma
12.3662	P4779.plasma_1a	plasma
5.8694	P5290.plasma_1a	plasma
8.5233	P4431.plasma_1a	plasma
9.8944	P2830.plasma_3a	plasma
11.9255	P5372.plasma_1a	plasma
6.0919	P4943.plasma_1a	plasma
2.0379	P2348.plasma_2a	plasma
2.027	P4650.plasma_1a	plasma
6.1118	P4633.plasma_1a	plasma
8.1748	P4660.plasma_1a	plasma
7.7604	P4153.plasma_1a	plasma
0	P4748.plasma_1a	plasma
10.3885	P4108.plasma_1a	plasma
2.0256	P4817.plasma_1a	plasma
7.7741	P5381.plasma_1a	plasma
7.7932	P5130.plasma_1a	plasma
8.2712	P5074.plasma_1a	plasma
7.9742	P4271.plasma_1a	plasma
1.9952	P4731.plasma_1a	plasma
7.8896	P3949.plasma_2a	plasma
4.1006	P4780.plasma_1a	plasma
2.0735	P5000.plasma_1a	plasma
13.2491	P2609.plasma_2a	plasma
7.8201	P4892.plasma_1a	plasma
6.1426	P4806.plasma_1a	plasma
7.8705	P4704.plasma_1a	plasma
11.8565	P4455.plasma_1a	plasma
4.0449	P4608.plasma_1a	plasma
12.1923	P3586.plasma_2a	plasma
18.7348	P3539.plasma_2a	plasma
7.9809	P4339.plasma_2a	plasma
4.1141	P4069.plasma_1a	plasma
5.9184	P4723.plasma_1a	plasma
7.7923	P4923.plasma_1a	plasma
3.9034	P4906.plasma_1a	plasma
7.9314	P3321.plasma_2a	plasma
4.0677	P5072.plasma_1a	plasma
7.98	P4529.plasma_1a	plasma
10.3404	P4085.plasma_1a	plasma
4.3055	P4074.plasma_1a	plasma
0	P4693.plasma_1a	plasma
1.9583	P4878.plasma_1a	plasma
5.9379	P4393.plasma_1a	plasma
6.1597	P5049.plasma_1a	plasma
10.0695	P4422.plasma_1a	plasma
2.0428	P5041.plasma_1a	plasma
3.9668	P4669.plasma_1a	plasma
8.4776	P4084.plasma_1a	plasma
13.8212	P4927.plasma_1a	plasma
11.6509	P4884.plasma_1a	plasma
11.8468	P4139.plasma_1a	plasma
7.8255	P4893.plasma_1a	plasma
5.8821	P4513.plasma_1a	plasma
8.1341	P4798.plasma_1a	plasma
2.0392	P646.plasma_2a	plasma
6.1247	P493.plasma_2a	plasma
2.0277	P4657.plasma_1a	plasma
7.775	P4597.plasma_1a	plasma
11.6776	P4904.plasma_1a	plasma
17.5527	P4313.plasma_1a	plasma
1.9945	P4725.plasma_1a	plasma
3.9023	P4454.plasma_1a	plasma
2.0688	P4785.plasma_1a	plasma
4.0126	P5415.plasma_1a	plasma
8.0803	P4661.plasma_1a	plasma
8.0593	P4935.plasma_1a	plasma
3.9832	P5142.plasma_1a	plasma
8.1399	P4103.plasma_1a	plasma
10.3695	P4071.plasma_1a	plasma
6.4293	P4434.plasma_1a	plasma
8.2227	P4301.plasma_1a	plasma
6.0561	P4637.plasma_1a	plasma
10.0544	P2979.plasma_2a	plasma
2.0677	P4063.plasma_1a	plasma
13.9366	P4379.plasma_1a	plasma
14.158	P5001.plasma_1a	plasma
10.3489	P385.plasma_3a	plasma
1.9376	P4823.plasma_1a	plasma
11.8267	P4403.plasma_2a	plasma
9.8185	P4268.plasma_2a	plasma
0	P4349.plasma_1a	plasma
9.816	P4737.plasma_1a	plasma
22.3886	P4787.plasma_1a	plasma
3.9044	P4900.plasma_1a	plasma
15.7982	P4525.plasma_1a	plasma
6.1013	P4807.plasma_1a	plasma
6.031	P4283.plasma_1a	plasma
9.7833	P4376.plasma_1a	plasma
6.0794	P4347.plasma_1a	plasma
7.9634	P5368.plasma_1a	plasma
5.8021	P4582.plasma_1a	plasma
5.7649	P5294.plasma_1a	plasma
2.0045	P4341.plasma_1a	plasma
6.0613	P4247.plasma_1a	plasma
9.9285	P5188.plasma_1a	plasma
3.8605	P4117.plasma_2a	plasma
5.97	P4555.plasma_1a	plasma
8.1236	P4403.plasma_1a	plasma
4.0906	P3735.plasma_2a	plasma
9.8648	P4934.plasma_1a	plasma
4.0799	P4640.plasma_1a	plasma
2.0623	P4423.plasma_1a	plasma
8.2515	P4066.plasma_1a	plasma
7.781	P4580.plasma_1a	plasma
6.0571	P4533.plasma_1a	plasma
7.7676	P4735.plasma_1a	plasma
3.8838	P4593.plasma_1a	plasma
0	P4617.plasma_1a	plasma
7.9913	P4810.plasma_1a	plasma
12.2949	P4616.plasma_1a	plasma
11.5912	P4589.plasma_1a	plasma
8.1441	P4808.plasma_1a	plasma
21.3448	P4604.plasma_1a	plasma
5.8671	P4759.plasma_1a	plasma
8.0071	P4109.plasma_1a	plasma
10.1714	P4399.plasma_1a	plasma
7.7835	P4459.plasma_1a	plasma
2.0143	P5064.plasma_1a	plasma
8.0912	P4332.plasma_1a	plasma
3.9572	P5230.plasma_1a	plasma
9.7287	P4757.plasma_1a	plasma
0	P5052.plasma_1a	plasma
1.9741	P5215.plasma_1a	plasma
7.9376	P4879.plasma_1a	plasma
11.7766	P4272.plasma_1a	plasma
10.2192	P4420.plasma_1a	plasma
4.0444	P4649.plasma_1a	plasma
10.1259	P4239.plasma_1a	plasma
7.8053	P4917.plasma_1a	plasma
8.0934	P5399.plasma_1a	plasma
6.011	P4235.plasma_1a	plasma
8.0083	P4733.plasma_1a	plasma
9.9389	P4116.plasma_1a	plasma
10.0579	P5043.plasma_1a	plasma
14.0437	P4543.plasma_1a	plasma
4.2131	P4073.plasma_1a	plasma
8.4065	P4080.plasma_1a	plasma
20.5217	P4105.plasma_1a	plasma
10.0119	P4542.plasma_1a	plasma
16.3876	P4079.plasma_1a	plasma
6.0447	P4613.plasma_1a	plasma
11.5648	P4175.plasma_1a	plasma
6.1774	P4444.plasma_1a	plasma
7.714	P4328.plasma_1a	plasma
1.9558	P4218.plasma_1a	plasma
18.051	P4260.plasma_1a	plasma
9.7896	P4702.plasma_1a	plasma
7.8313	P4925.plasma_1a	plasma
3.9391	P5182.plasma_1a	plasma
4.0006	P5410.plasma_1a	plasma
6.0364	P4754.plasma_1a	plasma
1.9315	P4142.plasma_1a	plasma
4.1387	P4046.plasma_1a	plasma
4.0287	P4278.plasma_1a	plasma
8.0435	P4342.plasma_1a	plasma
9.949	P4099.plasma_1a	plasma
11.5795	P4579.plasma_1a	plasma
3.921	P4523.plasma_1a	plasma
7.9873	P3708.plasma_1a	plasma
5.8958	P4266.plasma_1a	plasma
8.0861	P4819.plasma_1a	plasma
1.9891	P5176.plasma_1a	plasma
9.6955	P4590.plasma_1a	plasma
3.9228	P4758.plasma_1a	plasma
10.1305	P4228.plasma_1a	plasma
9.6647	P5297.plasma_1a	plasma
11.7281	P4700.plasma_1a	plasma
6.0408	P5059.plasma_1a	plasma
4.0511	P4945.plasma_1a	plasma
4.0438	P5396.plasma_1a	plasma
5.7685	P4588.plasma_1a	plasma
9.9838	P4246.plasma_1a	plasma
1.9669	P4931.plasma_1a	plasma
13.6272	P4888.plasma_1a	plasma
5.8099	P5308.plasma_1a	plasma
5.9651	P4289.plasma_1a	plasma
3.9245	P4706.plasma_1a	plasma
1.9505	P4915.plasma_1a	plasma
10.142	P4292.plasma_1a	plasma
3.9355	P4714.plasma_1a	plasma
10.3563	P4062.plasma_1a	plasma
9.7349	P4188.plasma_1a	plasma
8.1435	P4771.plasma_1a	plasma
15.9349	P5342.plasma_1a	plasma
16.127	P5035.plasma_1a	plasma
11.7935	P4516.plasma_1a	plasma
15.7067	P4551.plasma_1a	plasma
5.768	P5380.plasma_1a	plasma
8.1112	P4930.plasma_1a	plasma
7.8263	P3677.plasma_2a	plasma
7.834	P4264.plasma_1a	plasma
1.9253	P4578.plasma_1a	plasma
7.6584	P4895.plasma_1a	plasma
3.9292	P4891.plasma_1a	plasma
3.8597	P4326.plasma_1a	plasma
8.1448	P4425.plasma_1a	plasma
14.1776	P5412.plasma_1a	plasma
34.9534	P4591.plasma_1a	plasma
11.7888	P4314.plasma_1a	plasma
3.8919	P4996.plasma_1b	plasma
12.0143	P4532.plasma_1a	plasma
5.8685	P5155.plasma_1a	plasma
18.4234	P4061.plasma_1a	plasma
3.9769	P4587.plasma_1a	plasma
0	P5007.plasma_1a	plasma
12.3859	P5038.plasma_1a	plasma
3.9301	P5247.plasma_1a	plasma
8.1676	P4971.plasma_1a	plasma
4.1069	P4045.plasma_1a	plasma
5.8467	P5140.plasma_1a	plasma
5.9131	P4160.plasma_1a	plasma
5.999	P525.plasma_2a	plasma
5.8709	P4149.plasma_1a	plasma
7.6881	P5133.plasma_1a	plasma
8.0358	P4629.plasma_1a	plasma
0	P4531.plasma_1a	plasma
3.9827	P4198.plasma_1a	plasma
8.089	P4902.plasma_1a	plasma
5.9988	P4524.plasma_1a	plasma
3.9016	P4750.plasma_1a	plasma
0	P4688.plasma_1a	plasma
1.9965	P5050.plasma_1a	plasma
5.9542	P4623.plasma_1a	plasma
3.8638	P5092.plasma_1a	plasma
3.9066	P4477.plasma_1a	plasma
12.2162	P4789.plasma_1a	plasma
3.9453	P4368.plasma_1a	plasma
5.8113	P5127.plasma_1a	plasma
3.9574	P4536.plasma_1a	plasma
1.9687	P3133.plasma_2a	plasma
8.1076	P4110.plasma_1a	plasma
4.052	P4658.plasma_1a	plasma
14.2343	P4230.plasma_1a	plasma
9.8914	P4290.plasma_1a	plasma
13.6518	P4742.plasma_1a	plasma
9.8246	P4383.plasma_1a	plasma
5.8345	P4913.plasma_1a	plasma
3.8329	P4169.plasma_1a	plasma
3.8425	P4548.plasma_1a	plasma
4.0057	P4624.plasma_1a	plasma
10.0298	P4776.plasma_1a	plasma
10.2222	P2365.plasma_2a	plasma
19.4356	P4397.plasma_1a	plasma
5.8254	P4464.plasma_1a	plasma
15.4212	P5293.plasma_1a	plasma
5.9102	P4517.plasma_1a	plasma
1.9346	P4456.plasma_1a	plasma
5.8822	P4484.plasma_1a	plasma
7.9883	P4814.plasma_1a	plasma
12.0271	P5031.plasma_1b	plasma
3.976	P5159.plasma_1a	plasma
11.7271	P5348.plasma_1a	plasma
3.9803	P5253.plasma_1a	plasma
9.6935	P5334.plasma_1a	plasma
3.9594	P4382.plasma_1a	plasma
9.9434	P4632.plasma_1a	plasma
3.8698	P5103.plasma_1a	plasma
7.9575	P5400.plasma_1a	plasma
7.9561	P4101.plasma_1a	plasma
8.2605	P4077.plasma_1a	plasma
3.9962	P5008.plasma_1a	plasma
1.9547	P3991.plasma_2a	plasma
12.0067	P2244.plasma_2a	plasma
1.9969	P4112.plasma_1a	plasma
6.0754	P4300.plasma_1a	plasma
2.0127	P4773.plasma_1a	plasma
6.029	P4588.plasma_2a	plasma
5.7706	P4148.plasma_1a	plasma
4.0442	P4442.plasma_1a	plasma
3.9716	P4672.plasma_1a	plasma
5.8308	P4729.plasma_1a	plasma
6.0159	P4229.plasma_1a	plasma
15.3569	P5095.plasma_1a	plasma
19.7728	P4245.plasma_1a	plasma
1.9374	P4312.plasma_1a	plasma
5.8997	P4508.plasma_1a	plasma
21.5343	P3586.plasma_3a	plasma
2.0127	P4251.plasma_1a	plasma
2.0066	P4398.plasma_1a	plasma
3.9644	P375.plasma_2a	plasma
7.7242	P4183.plasma_1a	plasma
7.7383	P4822.plasma_1a	plasma
1.9893	P4952.plasma_1a	plasma
3.8989	P3877.plasma_2a	plasma
5.9821	P4954.plasma_1a	plasma
13.7406	P4157.plasma_1a	plasma
9.8397	P4102.plasma_1a	plasma
9.6435	P4821.plasma_1a	plasma
3.9969	P4416.plasma_1a	plasma
5.9717	P4209.plasma_1a	plasma
0	P4411.plasma_1a	plasma
1.9807	P5254.plasma_1a	plasma
7.6546	P4165.plasma_1a	plasma
11.8582	P5248.plasma_1a	plasma
1.9674	P4701.plasma_1a	plasma
1.921	P4186.plasma_1a	plasma
4.0287	P4986.plasma_1b	plasma
17.3913	P5291.plasma_1a	plasma
9.7081	P4728.plasma_1a	plasma
1.9465	P5325.plasma_1a	plasma
5.9441	P4618.plasma_1a	plasma
7.7693	P4467.plasma_1a	plasma
9.8122	P5227.plasma_1a	plasma
5.871	P528.plasma_3a	plasma
9.7769	P4253.plasma_1a	plasma
9.7517	P4291.plasma_1a	plasma
16.0495	P5401.plasma_1a	plasma
1.9716	P5137.plasma_1a	plasma
1.9656	P4518.plasma_1a	plasma
5.8698	P4526.plasma_1a	plasma
5.95	P4988.plasma_1b	plasma
11.6501	P4268.plasma_1a	plasma
0	P4628.plasma_1a	plasma
13.866	P4255.plasma_1a	plasma
